i alt;1;2;3;4
Har set film og serier + har været i biografen;96;94;94;95
Har lyttet til musik + har været til koncert;96;95;95;95
Har opsøgt billedkunst;42;42;48;45
Har læst eller lyttet til skønlitterære bøger;64;64;65;65
Har læst eller lyttet til faglitterære bøger;63;62;63;62
Har spillet digitale spil;55;55;56;54
Har været (fysisk) på biblioteket;38;39;39;40
Har brugt bibliotekets digitale tjenester;33;31;32;32
Har dyrket motion;85;86;85;84
Har overværet eller lyttet til en sportsbegivenhed + været til sportsbegivenhed som tilskuer;75;70;78;75
Har udført frivilligt arbejde;31;34;34;33
Har deltaget i fritidsaktiviteter inden for de seneste tre måneder;34;36;32;37
Har besøgt et museum o. lign;20;25;33;30
Har overværet scenekunst i teatret, operaen på teaterfestival eller i det offentlige rum;19;23;25;24
